,Ranking,CUI1,CUI2,Term1,Term2
521,522,C0021359,C0005747,Infertility,Blepharospasm
522,523,C0040460,C0076107,Toothache,Hytrin
523,524,C0004153,C0040460,Atherosclerosis,Toothache
524,525,C0497327,C0995182,Dementia,Aloe Vera
525,526,C0024730,C0000970,Mannitol,Tylenol
526,527,C0033860,C0025287,Psoriasis,Meningism
527,528,C0033860,C0037763,Psoriasis,Spasm
528,529,C0009090,C0017887,Cluttering,Nitroglycerine
529,530,C0086543,C0043144,Cataracts,Wheezing
530,531,C0010137,C0001443,Cortisone,Adenosine
531,532,C0003564,C0152149,Aphonia,Mittelschmerz
532,533,C0013428,C0070166,Dysuria,Plavix
533,534,C0004153,C0152447,Atherosclerosis,Urethrorrhea
534,535,C0018995,C0025023,Hemochromatosis,Vermox
535,536,C0014544,C0019209,Epilepsy,Hepatomegaly
536,537,C0005747,C0043031,Blepharospasm,Coumadin
537,538,C0001882,C0029456,Airsickness,Osteoporosis
538,539,C1998461,C0004899,Allergy.,Bacitracin
539,540,C0036323,C0114873,Schistosomiasis,Cardura
540,541,C0003862,C0159075,Arthralgia,Chyluria
541,542,C0006309,C0027358,Brucellosis,Narcan
542,543,C0152149,C0003564,Mittelschmerz,Aphonia
543,544,C0242706,C0076275,Hyperoxia,Xenical
544,545,C0033860,C0054836,Psoriasis,Coreg
545,546,C0149651,C0885057,Clubbing,Garlic
546,547,C0018081,C0076275,Gonorrhea,Xenical
547,548,C0393080,C0016365,Vfend,Prozac
548,549,C0009806,C0042523,Constipation,Calan
549,550,C0019112,C0021359,Haemorrhoids,Infertility
550,551,C0036572,C0357929,Seizures,Calamine
551,552,C0032617,C0159075,Polyuria,Chyluria
552,553,C0995182,C0020264,Aloe Vera,Vicodin
553,554,C0019270,C0013456,Hernias,Earache
554,555,C0009806,C0012373,Constipation,Cardizem
555,556,C0018081,C0070166,Gonorrhea,Plavix
556,557,C0033860,C0004153,Psoriasis,Atherosclerosis
557,558,C0684275,C0017642,Hemophilia,Glucotrol
558,559,C0149651,C0009806,Clubbing,Constipation
559,560,C0036572,C0995182,Seizures,Aloe Vera
560,561,C0009319,C0014544,Colitis,Epilepsy
561,562,C0009806,C0011991,Constipation,Diarrhea
562,563,C1257763,C0162429,Overnutrition,Malnutrition
563,564,C0017536,C0233576,Giardiasis,Mannerism
564,565,C0038187,C0152149,Starvation,Mittelschmerz
565,566,C0019340,C0020550,Herpes,Hyperthyroidism
